ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
121024,"Marcus Lyndon ""Mark"" Tonelli (Leembruggen-)",M,23,181,66,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
76900,"Elisabeth ""Sissy"" Max-Theurer",F,23,168,60,Austria,AUT,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
35071,Karl Ferstl,M,34,182,85,Austria,AUT,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Keelboat,Silver
77058,Wolfgang Mayrhofer,M,22,181,71,Austria,AUT,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed One Person Dinghy,Silver
99155,Hubert Raudaschl,M,37,187,82,Austria,AUT,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Keelboat,Silver
94072,Gerhard Petritsch,M,39,180,85,Austria,AUT,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Bronze
124277,Robert Van de Walle,M,26,187,95,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,Gold
26509,Joo Carlos de Oliveira,M,26,186,76,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Triple Jump,Bronze
11920,Lars Sigurd Bjorkstrom,M,36,184,75,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,Gold
93022,Eduardo Henrique Gomes Penido,M,20,177,64,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
112616,Marcos Pinto Rizzo Soares,M,19,173,68,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
129573,Alexander Welter,M,27,186,75,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,Gold
27269,Cyro Marques Delgado,M,19,182,76,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
68536,Jorge Luiz Fernandes Leite,M,18,188,87,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
73244,Djan Garrido Madruga,M,21,181,69,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
76709,Marcus Laborne Mattioli,M,19,181,75,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
94122,Petar Nikolov Petrov,M,25,180,80,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,Bronze
126016,Mariya Dimitrova Vergova-Petkova,F,29,185,105,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Discus Throw,Silver
12732,Krasimira Nikolova Bogdanova,F,31,182,73,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
27728,Vanya Dermendzhieva,F,21,180,69,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
28553,Diana Dilova-Braynova,F,28,185,79,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
39777,Silviya Germanova,F,19,182,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
41103,Nadka Vangelova Golcheva,F,28,173,63,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
73827,Petkana Bogdanova Makaveeva,F,27,174,66,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
79119,Penka Metodieva,F,29,166,62,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
79645,Angelina Trifnova Mikhaylova,F,20,176,64,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
79650,Snezhana Mikhaylova,F,26,176,69,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
98166,Kostadinka Ivanova Radkova,F,18,187,80,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
111906,Evladiya Slavcheva-Stefanova (-Zakatanova),F,18,182,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
115580,Penka Stoyanova,F,30,183,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver
68993,Petar Lesov,M,19,168,50,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Flyweight,Gold
83716,Ismail Mustafov (-Ivaylo Marinov) Huseinov (-Khristov),M,20,162,50,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Flyweight,Bronze
3632,Borislav Ananiev,M,24,185,80,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
13503,Borislav Konstantinov Borisov,M,25,185,87,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
39854,Vanya Atanasova Gesheva (-Tsvetkova),F,20,167,65,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
51874,Nikolai Ilkov,M,25,180,78,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
59446,Lazar Khristov,M,26,178,77,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
72698,Lyubomir Yankov Lyubenov,M,23,188,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
72698,Lyubomir Yankov Lyubenov,M,23,188,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
74389,Ivan Manev,M,29,179,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
79788,Bozhidar Milenkov,M,25,174,74,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
37860,Georgi Gadzhev,M,39,178,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
52837,Svetoslav Ivanov,M,28,178,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
74322,Petar Mandadzhiev,M,50,165,63,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
27224,Stoyan Delchev,M,21,162,56,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
27224,Stoyan Delchev,M,21,162,56,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
85025,Iliyan Nedkov,M,22,174,65,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Lightweight,Bronze
133994,Dimitar Lambrev Zapryanov,M,20,186,135,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Heavyweight,Silver
7101,"Ani Stoyanova ""Anka"" Bakova",F,23,175,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
13112,Rumelyana Boncheva Stefanova,F,23,176,69,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
28987,Bogdan Dobrev,M,22,189,88,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze
35325,Nadiya Filipova,F,20,159,46,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
39618,"Ani ""Anka"" Georgieva (Eftimova-)",F,20,165,50,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
43361,Stoyanka Gruycheva-Kurbatova,F,25,174,74,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxless Pairs,Bronze
44408,Ginka Gyurova,F,26,174,68,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
58468,Siyka Kelbecheva-Barbulova,F,28,174,76,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxless Pairs,Bronze
80789,Mariyka Modeva,F,26,174,74,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
84409,Dolores Zdravkova Nakova,F,23,179,80,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
86292,Mincho Nikolov,M,27,182,84,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze
94117,Lyubomir Petrov,M,25,185,89,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze
103550,Ivo Rusev,M,18,189,84,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze
108773,Mariana Serbezova,F,20,178,69,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
120696,Rita Todorova,F,21,182,78,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
125787,Iskra Velinova,F,26,171,72,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
31026,Lyubcho Stefanov Dyakov,M,26,171,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
133995,Petar Dimitrov Zapryanov,M,21,175,100,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Bronze
4305,Yordan Angelov,M,26,196,86,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
13517,Verka Borisova (-Stoyanova),F,25,170,64,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
14406,Tsvetana Bozhurina (-Fillippini),F,28,180,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
28580,Dimitar Dimitrov,M,28,186,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
28601,Stefan Dimitrov,M,24,NA,NA,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
28610,Rositsa Dimitrova,F,25,178,62,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
28612,Tanya Georgieva Dimitrova (-Todorova),F,23,178,70,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
39626,Maya Vladimirova Georgieva (-Stoeva),F,25,180,70,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
41055,Tanya Gogova (-Ayshinova),F,30,178,72,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
43870,Stoyan Gunchev,M,22,178,78,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
51853,Khristo Iliev,M,28,196,90,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
51860,Valentina Ilieva (-Kharalampieva),F,18,181,73,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
56720,Rumyana Kaisheva,F,24,180,65,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
59425,"Anka Tomova Khristolova (-Uzunova, -Tomova)",F,25,174,68,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
93981,Petko Petkov,M,22,200,84,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
94186,Silviya Petrunova,F,24,180,72,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze
110667,Kaspar Simeonov,M,25,196,103,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
115563,Khristo Stoyanov,M,27,184,80,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
120682,Mitko Todorov,M,24,198,89,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
122212,Tsano Tsanov,M,31,186,86,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
123866,Emil Valchev,M,30,195,78,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
135146,Dimitar Popov Zlatanov,M,31,195,92,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver
2483,Rumen Aleksandrov,M,20,176,89,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
12036,Blagoy Blagoev,M,23,168,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
28602,Stefan Dimitrov,M,22,159,59,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Featherweight,Silver
59456,Valentin Khristov,M,24,179,107,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight II,Silver
62191,Nedelcho Lazarov Kolev,M,27,169,74,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middleweight,Bronze
91903,Mincho Pashov,M,18,166,67,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Lightweight,Bronze
103553,Yanko Rusev Rusev,M,21,164,67,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Lightweight,Gold
135150,Asen Ivanov Zlatev,M,20,173,75,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middleweight,Gold
443,Ismail Abilov (-Nizamolu),M,29,172,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
20528,Slavcho Georgiev Chervenkov,M,24,184,100,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
30523,Mikho Ivanov Dukov,M,24,165,57,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
80674,Mladen Venelinov Mladenov,M,23,154,52,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
92322,Pavel Pavlov Strakhilov,M,27,182,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
99263,Valentin Raychev,M,26,174,74,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
99266,Georgi Petkov Raykov,M,26,178,100,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
108459,Nermedin Selimov Hyuseinov,M,26,155,52,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
120990,Aleksandar Tomov Lazarov,M,31,191,109,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
132597,Ivan Yankov Marinov,M,29,166,62,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
18740,Alejandro Francisco Casaas Ramrez,M,26,188,79,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,Silver
22531,Mara Caridad Coln Ruees-Salazar,F,22,169,66,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Javelin Throw,Gold
27323,Luis Marano Dels Fournier,M,22,185,106,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Bronze
68787,Silvio Leonard Sarra,M,24,173,64,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,Silver
1249,Jos Aguilar Pulsn,M,20,173,64,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze
2420,Andrs Aldama Cabrera,M,24,183,63,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,Gold
41313,Jos Gmez Mustelier,M,21,182,75,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Middleweight,Gold
48101,Juan Bautista Hernndez Prez,M,17,163,54,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,Gold
48132,Angel Herrera Vera,M,22,159,57,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Gold
50037,Adolfo Horta Martnez,M,22,174,57,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Featherweight,Silver
75694,Armando Martnez Limendu,M,18,180,71,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Middleweight,Gold
98712,Hiplito Ramos Martnez,M,24,155,48,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Flyweight,Silver
102086,Ricardo Rojas Farias,M,25,180,81,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Heavyweight,Bronze
115114,Tefilo Stevenson Laurence,M,28,190,95,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Heavyweight,Gold
6306,Isaac Azcuy Oliva,M,27,178,80,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Middleweight,Silver
35021,Juan Ferrer Lahera,M,24,180,78,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Middleweight,Silver
101794,Jos Rafael Rodrguez Carbonell,M,21,161,60,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,Silver
18981,Roberto Marcelo Castrillo Garca,M,39,160,58,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Skeet,Bronze
12119,Alberto Blanco Fernndez,M,30,173,90,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
87332,Daniel Nez Aguiar,M,21,155,52,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,Gold
16209,Imrich Bugr,M,25,196,120,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Silver
63804,Jarmila Kratochvlov,F,29,171,68,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 400 metres,Silver
36733,Jn Franek,M,20,177,71,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Middleweight,Bronze
19413,Teodor ern,M,23,173,74,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
61056,Michal Klasa,M,26,182,79,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
62423,Vlastibor Konen,M,23,181,75,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
63071,Alipi Kostadinov,M,25,178,76,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
92977,Martin Penc,M,23,180,73,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
95763,Ji Pokorn,M,23,182,79,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
111702,Ji koda,M,23,180,78,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
111876,Igor Slma,M,21,175,70,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
10450,Jan Berger,M,24,178,73,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
65041,Frantiek Kunzo,M,25,175,70,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
69686,Werner Lika,M,25,178,71,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
72903,Ludk Macela,M,29,183,78,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
77116,Josef Mazura,M,24,180,73,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
85235,Petr Nmec,M,23,173,73,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
95757,"Lubomr ""Lubo"" Pokluda",M,22,177,74,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
98152,Libor Radimec,M,30,180,75,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
102896,Oldich Rott,M,29,172,65,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
103866,Zdenk Rygel,M,29,175,70,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
108515,Stanislav Seman,M,27,185,82,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
114040,Zdenk reiner,M,26,181,76,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
114243,Frantiek tambacher,M,27,177,71,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
117016,Jindich Svoboda,M,27,181,78,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
123728,Rostislav Vclavek,M,33,190,87,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
126944,Ladislav Vzek,M,25,174,74,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Gold
117685,Ji Tabk,M,24,170,56,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Rings,Bronze
12227,Milada Blakov,F,22,162,54,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
19391,Jiina ermkov (Hrabtov-),F,35,168,59,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
44868,Jiina Hjkov,F,26,160,54,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
50495,Berta Hrub,F,34,164,58,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
50681,Ida Hubkov,F,25,164,55,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
56585,Jiina Kadlecov (Kodrov-),F,32,161,56,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
63697,Jarmila Krlkov,F,36,163,63,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
